(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
7 9 11 (53)
9 11 12 (54)
3 9 11 (54)
2 9 11 (53)
9 11 14 (54)
7 11 12 (53)
3 7 11 (53)
2 7 11 (53)
7 11 14 (59)
3 11 12 (57)
2 11 12 (81)
11 12 14 (79)
2 3 11 (60)
3 11 14 (61)
2 11 14 (88)
2 17 89 (51)
14 17 89 (52)
2 14 89 (85)
2 18 33 (53)
14 18 33 (50)
2 14 33 (70)
3 58 107 (73)
14 58 107 (73)
3 14 107 (94)
4 7 9 (53)
4 9 12 (53)
3 4 9 (53)
2 4 9 (53)
4 9 14 (53)
4 7 12 (53)
3 4 7 (53)
2 4 7 (53)
4 7 14 (53)
3 4 12 (53)
2 4 12 (54)
4 12 14 (55)
2 3 4 (79)
3 4 14 (74)
2 4 14 (86)
2 14 87 (98)
7 9 12 (53)
3 7 9 (64)
2 7 9 (64)
7 9 14 (64)
9 28 77 (74)
2 9 77 (70)
9 14 77 (73)
2 9 28 (70)
9 14 28 (73)
3 9 12 (86)
2 9 12 (98)
9 12 14 (98)
2 3 9 (97)
3 9 14 (99)
2 9 14 (126)
2 7 119 (55)
7 14 119 (56)
2 77 119 (50)
14 77 119 (51)
67 68 119 (60)
17 68 119 (57)
18 68 119 (57)
2 68 119 (60)
14 68 119 (57)
17 67 119 (62)
18 67 119 (62)
2 67 119 (65)
14 67 119 (62)
17 47 119 (52)
40 47 119 (51)
18 47 119 (51)
14 47 119 (52)
17 40 119 (78)
12 17 119 (57)
17 18 119 (106)
2 17 119 (110)
14 17 119 (116)
18 40 119 (64)
2 40 119 (75)
14 40 119 (84)
12 18 119 (56)
12 14 119 (54)
2 18 119 (97)
14 18 119 (101)
2 14 119 (124)
7 17 47 (65)
7 40 47 (52)
7 18 47 (52)
2 7 47 (65)
7 14 47 (65)
7 17 40 (57)
7 17 18 (60)
2 7 17 (74)
7 14 17 (75)
7 18 40 (55)
2 7 40 (55)
7 14 40 (56)
3 7 12 (54)
2 7 12 (93)
7 12 14 (93)
2 7 18 (58)
7 14 18 (60)
2 3 7 (79)
3 7 14 (78)
2 7 14 (138)
66 68 77 (53)
66 67 77 (54)
18 66 77 (54)
2 66 77 (53)
14 66 77 (52)
66 67 68 (145)
58 66 68 (96)
17 66 68 (66)
12 66 68 (91)
18 66 68 (130)
3 66 68 (100)
2 66 68 (145)
14 66 68 (141)
58 66 67 (96)
17 66 67 (76)
12 66 67 (99)
18 66 67 (139)
3 66 67 (101)
2 66 67 (154)
14 66 67 (150)
12 58 66 (74)
18 58 66 (82)
3 58 66 (96)
2 58 66 (96)
14 58 66 (92)
17 18 66 (75)
2 17 66 (75)
14 17 66 (81)
12 18 66 (85)
3 12 66 (76)
